"participant_ID","whichPrime","d_score","questionnaire"
"iat-2024-11-05-22-01-17","degree",-0.938488188557828,2.7
"iat-2024-11-05-22-02-10","harvard",-0.701854110298534,2.5
"iat-2024-11-05-22-13-50","degree",-0.456880286364951,1.1
"iat-2024-11-05-22-29-55","harvard",-0.212599624165077,2.1
"iat-2024-11-05-22-31-58","harvard",0.2980049769198,1.2
"iat-2024-11-05-22-33-19","harvard",-0.516183256282774,1.8
"iat-2024-11-05-22-37-14","harvard",-0.574140763371698,2.4
"iat-2024-11-05-22-39-47","degree",0.0232912715649479,1.4
"iat-2024-11-11-15-30-11","degree",-1.16221897919381,NA
"iat-2024-11-11-19-59-03","degree",-0.576692440694786,2.3
"iat-2024-11-11-23-42-47","degree",-0.92289149959167,2.1
"iat-2024-11-11-23-49-40","harvard",-0.501510849491391,1.6
"iat-2024-11-11-23-57-11","degree",0.308935570738705,3.1
"iat-2024-11-12-00-09-32","degree",-0.866791337702937,1.8
"iat-2024-11-12-00-10-51","degree",-1.31883863785721,1.6
